order_id,customer_id,order_date,promised_delivery,sales_rep
122380,10016609,2019/12/31,12/31/2019,176
123966,10016609,2019/12/31,12/31/2019,176
121831,10026081,2019/12/31,12/31/2019,154
121833,10026081,2019/12/31,12/31/2019,154
121836,10026081,2019/12/31,12/31/2019,154
121964,10026081,2019/12/31,12/31/2019,154
121967,10026081,2019/12/31,12/31/2019,154
123284,10005099,2019/12/31,12/31/2019,185
123287,10005099,2019/12/31,12/31/2019,185
123307,10026606,2019/12/31,12/31/2019,114
123916,10021996,2019/12/31,12/31/2019,181
124264,10023793,2019/12/31,12/31/2019,115
121758,10019194,2019/12/31,12/31/2019,108
121826,10017036,2019/12/31,12/31/2019,117
121870,10023511,2019/12/31,12/31/2019,136
121906,10020515,2019/12/31,12/31/2019,143
122204,10020515,2019/12/31,12/31/2019,143
122310,10019812,2019/12/31,12/31/2019,113
122516,10022732,2019/12/31,12/31/2019,130
122701,10005688,2019/12/31,12/31/2019,107
123243,10022450,2019/12/31,12/17/2019,167
123784,10013080,2019/12/31,12/31/2019,180
123870,10019812,2019/12/31,12/31/2019,113
123898,10022450,2019/12/31,12/31/2019,167
123904,10012422,2019/12/31,12/31/2019,139
123933,10022687,2019/12/31,12/31/2019,113
123961,10014533,2019/12/31,12/31/2019,183
124027,10023511,2019/12/31,12/31/2019,136
124046,10019194,2019/12/31,12/31/2019,108
124184,10021283,2019/12/31,12/31/2019,168
124192,10023511,2019/12/31,12/31/2019,136
124197,10020672,2019/12/31,12/31/2019,125
124213,10013332,2019/12/31,12/31/2019,131
124226,10019194,2019/12/31,12/31/2019,108
124240,10010865,2019/12/31,12/31/2019,167
124248,10020080,2019/12/31,12/31/2019,142
124255,10019664,2019/12/31,12/31/2019,170
124259,10007577,2019/12/31,12/31/2019,175
124266,10019194,2019/12/31,12/31/2019,108
124272,10019194,2019/12/31,12/31/2019,108
124289,10006846,2019/12/31,12/31/2019,114
121807,10019400,2019/12/30,12/29/2019,119
122061,10019400,2019/12/30,12/29/2019,119
123158,10019400,2019/12/30,12/29/2019,119
123345,10014804,2019/12/30,12/30/2019,127
123875,10002526,2019/12/30,12/30/2019,116
123628,10019400,2019/12/30,12/29/2019,119
